ts_code,name,call_put,trade_date,exercise_price,days_to_maturity,underlying_close,market_price,rf_rate_decimal,bsm_lower_bound,bsm_upper_bound,moneyness
10007111.SH,易方达上证科创板50ETF期权2405认购0.75,C,2024-04-19,0.75,33,2.464,0.0189,0.019913,1.7153490503204243,2.464,3.2853333333333334
10007111.SH,易方达上证科创板50ETF期权2405认购0.75,C,2024-04-24,0.75,28,2.457,0.0204,0.01959,1.7081262494177247,2.457,3.276
10007111.SH,易方达上证科创板50ETF期权2405认购0.75,C,2024-04-29,0.75,23,2.511,0.0517,0.020236875,1.7619557907150054,2.511,3.3480000000000003
10007111.SH,易方达上证科创板50ETF期权2405认购0.75,C,2024-04-30,0.75,22,2.5,0.043,0.02048,1.7509252370403197,2.5,3.3333333333333335
10007111.SH,易方达上证科创板50ETF期权2405认购0.75,C,2024-05-09,0.75,13,2.536,0.0484,0.019008571,1.7865075913544177,2.536,3.3813333333333335
10007111.SH,易方达上证科创板50ETF期权2405认购0.75,C,2024-05-14,0.75,8,2.531,0.0283,0.018418571,1.7813027099248289,2.531,3.3746666666666667
10007111.SH,易方达上证科创板50ETF期权2405认购0.75,C,2024-05-17,0.75,5,2.561,0.0226,0.017783333,1.8111826832236404,2.561,3.4146666666666667
10007112.SH,易方达上证科创板50ETF期权2405认购0.80,C,2024-03-29,0.8,54,2.449,0.0207,0.021464,1.6515363674687458,2.449,3.06125
10007112.SH,易方达上证科创板50ETF期权2405认购0.80,C,2024-04-03,0.8,49,2.463,0.0162,0.021115667,1.6652645535964332,2.463,3.07875
10007112.SH,易方达上证科创板50ETF期权2405认购0.80,C,2024-04-09,0.8,43,2.437,0.0114,0.020651667,1.6389439831375756,2.437,3.0462499999999997
10007112.SH,易方达上证科创板50ETF期权2405认购0.80,C,2024-04-12,0.8,40,2.408,0.0072,0.020358333,1.6097828505993146,2.408,3.01
10007112.SH,易方达上证科创板50ETF期权2405认购0.80,C,2024-04-19,0.8,33,2.464,0.0053,0.019913,1.6654389870084525,2.464,3.0799999999999996
10007112.SH,易方达上证科创板50ETF期权2405认购0.80,C,2024-04-24,0.8,28,2.457,0.0047,0.01959,1.6582013327122396,2.457,3.0712499999999996
10007112.SH,易方达上证科创板50ETF期权2405认购0.80,C,2024-04-29,0.8,23,2.511,0.0187,0.020236875,1.7120195100960056,2.511,3.13875
10007112.SH,易方达上证科创板50ETF期权2405认购0.80,C,2024-04-30,0.8,22,2.5,0.0126,0.02048,1.700986919509674,2.5,3.125
10007112.SH,易方达上证科创板50ETF期权2405认购0.80,C,2024-05-09,0.8,13,2.536,0.012,0.019008571,1.7365414307780456,2.536,3.17
10007112.SH,易方达上证科创板50ETF期权2405认购0.80,C,2024-05-14,0.8,8,2.531,0.0038,0.018418571,1.7313228905864841,2.531,3.16375
10007112.SH,易方达上证科创板50ETF期权2405认购0.80,C,2024-05-17,0.8,5,2.561,0.0007,0.017783333,1.7611948621052163,2.561,3.20125
10007113.SH,易方达上证科创板50ETF期权2405认购0.85,C,2024-03-29,0.85,54,2.449,0.0083,0.021464,1.6016948904355424,2.449,2.881176470588235
10007113.SH,易方达上证科创板50ETF期权2405认购0.85,C,2024-04-03,0.85,49,2.463,0.0058,0.021115667,1.6154060881962105,2.463,2.8976470588235297
10007113.SH,易方达上证科创板50ETF期权2405认购0.85,C,2024-04-09,0.85,43,2.437,0.0035,0.020651667,1.5890654820836743,2.437,2.8670588235294114
10007113.SH,易方达上证科创板50ETF期权2405认购0.85,C,2024-04-12,0.85,40,2.408,0.0021,0.020358333,1.5598942787617718,2.408,2.8329411764705883
10007113.SH,易方达上证科创板50ETF期权2405认购0.85,C,2024-04-19,0.85,33,2.464,0.0014,0.019913,1.615528923696481,2.464,2.898823529411765
10007113.SH,易方达上证科创板50ETF期权2405认购0.85,C,2024-04-24,0.85,28,2.457,0.0011,0.01959,1.6082764160067544,2.457,2.8905882352941177
10007113.SH,易方达上证科创板50ETF期权2405认购0.85,C,2024-04-29,0.85,23,2.511,0.0065,0.020236875,1.6620832294770063,2.511,2.954117647058824
10007113.SH,易方达上证科创板50ETF期权2405认购0.85,C,2024-04-30,0.85,22,2.5,0.0043,0.02048,1.651048601979029,2.5,2.9411764705882355
10007113.SH,易方达上证科创板50ETF期权2405认购0.85,C,2024-05-09,0.85,13,2.536,0.002,0.019008571,1.6865752702016734,2.536,2.983529411764706
10007113.SH,易方达上证科创板50ETF期权2405认购0.85,C,2024-05-14,0.85,8,2.531,0.0004,0.018418571,1.6813430712481394,2.531,2.9776470588235298
10007113.SH,易方达上证科创板50ETF期权2405认购0.85,C,2024-05-17,0.85,5,2.561,0.0001,0.017783333,1.7112070409867925,2.561,3.0129411764705885
10007114.SH,易方达上证科创板50ETF期权2405认购0.90,C,2024-03-29,0.9,54,2.449,0.0034,0.021464,1.551853413402339,2.449,2.721111111111111
10007114.SH,易方达上证科创板50ETF期权2405认购0.90,C,2024-04-03,0.9,49,2.463,0.002,0.021115667,1.5655476227959875,2.463,2.736666666666667
10007114.SH,易方达上证科创板50ETF期权2405认购0.90,C,2024-04-09,0.9,43,2.437,0.0009,0.020651667,1.539186981029773,2.437,2.7077777777777774
10007114.SH,易方达上证科创板50ETF期权2405认购0.90,C,2024-04-12,0.9,40,2.408,0.0007,0.020358333,1.510005706924229,2.408,2.6755555555555555
10007114.SH,易方达上证科创板50ETF期权2405认购0.90,C,2024-04-19,0.9,33,2.464,0.0004,0.019913,1.5656188603845091,2.464,2.7377777777777776
10007114.SH,易方达上证科创板50ETF期权2405认购0.90,C,2024-04-24,0.9,28,2.457,0.0003,0.01959,1.5583514993012695,2.457,2.73
10007114.SH,易方达上证科创板50ETF期权2405认购0.90,C,2024-04-29,0.9,23,2.511,0.0021,0.020236875,1.6121469488580065,2.511,2.79
